timeframe,period,start,end_exclusive,short_window,long_window,cost_pips,entry_delay_bars,trade_count,total_pnl_pips,win_rate_pct,profit_factor,max_drawdown_pips,avg_win_pips,avg_loss_pips,avg_win_loss_ratio,avg_trade_pips,median_trade_pips,max_win_pips,max_loss_pips,pnl_skew,avg_holding_bars,top_1pct_win_contribution_pct,top_5pct_win_contribution_pct,top_10pct_win_contribution_pct
60m,full_2023_2025,2023-01-01,2026-01-01,10,60,1.0,0,406,3441.499999999997,37.93103448275862,1.2505587792039485,1043.100000000009,111.53766233766234,-54.50515873015874,2.0463689114246435,8.476600985221667,-21.44999999999817,794.5000000000013,-275.60000000000093,2.13328347132694,46.056650246305416,7.814028224116254,22.207279586418885,36.02941176470585
60m,full_2023_2025,2023-01-01,2026-01-01,10,80,1.0,0,362,852.0999999999622,33.70165745856354,1.0628109773626881,1179.600000000023,118.18196721311479,-56.52541666666683,2.090775693172501,2.353867403314813,-27.799999999998647,571.4999999999994,-256.5000000000007,1.8437793149116857,51.65469613259668,7.921932002607818,22.45911417513976,34.54869539887089
60m,full_2023_2025,2023-01-01,2026-01-01,10,120,1.0,0,276,-794.5000000000338,28.6231884057971,0.9388897862488533,2262.0000000000214,154.51392405063277,-65.99543147208134,2.3412821252028366,-2.8786231884059195,-34.29999999999984,654.2999999999997,-273.199999999998,2.0839244597090913,67.75,5.36021496567431,18.813592646601034,34.06353939671987
60m,full_2023_2025,2023-01-01,2026-01-01,10,160,1.0,0,258,699.3000000000205,25.968992248062015,1.0626669056367077,1955.5,176.9895522388059,-58.42408376963338,3.029393716068824,2.7104651162791495,-32.65000000000191,651.4000000000001,-269.9999999999998,2.330888214259987,72.47674418604652,5.4931988564971395,20.24489176357491,32.19432802340979
60m,full_2023_2025,2023-01-01,2026-01-01,10,200,1.0,0,226,361.89999999998463,23.893805309734514,1.0336663689811698,2309.600000000021,205.7685185185185,-62.497674418604745,3.292418804902985,1.6013274336282506,-37.85000000000116,1117.0000000000007,-273.199999999998,3.1342161536739126,82.73893805309734,10.0526481573145,22.843000494982682,37.076902308419214
60m,full_2023_2025,2023-01-01,2026-01-01,20,60,1.0,0,346,784.9000000000253,35.54913294797688,1.0538329115313145,1368.199999999995,124.92032520325213,-65.38251121076227,1.9106076363535216,2.268497109826663,-23.299999999999898,766.6999999999992,-250.79999999999905,1.7306355928242778,54.043352601156066,8.660479525160746,21.041053809908096,32.45646005258634
60m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,0,292,-140.10000000002492,35.273972602739725,0.9896170692121258,2067.1000000000026,129.6427184466019,-71.3931216931218,1.8158992823406965,-0.47979452054803057,-30.49999999999875,574.9999999999991,-258.49999999999886,1.5506900851220786,64.03767123287672,8.208519306233711,21.42782254440884,33.1890483180062
60m,full_2023_2025,2023-01-01,2026-01-01,20,120,1.0,0,212,183.0999999999908,30.660377358490564,1.016198665888139,1717.700000000013,176.7153846153846,-76.89387755102047,2.298172367470099,0.8636792452829756,-42.40000000000015,640.2000000000006,-286.5000000000018,1.7499621614237306,88.20283018867924,5.573499325294919,20.225482087668155,31.960127105732855
60m,full_2023_2025,2023-01-01,2026-01-01,20,160,1.0,0,178,405.7000000000219,30.337078651685395,1.0392018552517173,1990.3999999999883,199.16111111111132,-83.45967741935475,2.3863153713187586,2.27921348314619,-53.85000000000082,1105.2000000000012,-296.09999999999934,2.590080939351317,105.0505617977528,10.276437278585176,23.32003682111078,37.64772611044475
60m,full_2023_2025,2023-01-01,2026-01-01,20,200,1.0,0,164,389.10000000000684,27.439024390243905,1.0388156779026971,1948.3999999999946,231.408888888889,-84.23781512605042,2.7470903482315765,2.372560975609798,-49.799999999999955,1076.7999999999993,-278.09999999999866,2.4467889386656823,114.01829268292683,10.340522787946286,24.469433614381447,34.65438761595631
60m,full_2023_2025,2023-01-01,2026-01-01,30,60,1.0,0,340,276.0999999999831,38.23529411764706,1.0190612292801458,1835.2000000000385,113.54615384615384,-68.97571428571436,1.6461758319140816,0.812058823529362,-22.099999999999852,779.7000000000016,-284.4000000000003,1.7474928281821691,54.99411764705882,9.16672312173973,22.837206151344777,34.520018968904544
60m,full_2023_2025,2023-01-01,2026-01-01,30,80,1.0,0,268,-1031.0999999999917,33.95522388059701,0.9273084894886008,1991.799999999979,144.54395604395611,-80.13898305084746,1.8036659630712344,-3.8473880597014616,-34.34999999999866,614.9999999999997,-289.300000000001,1.4943204343005532,69.7723880597015,4.675561637586949,20.050937012962343,32.773026190747686
60m,full_2023_2025,2023-01-01,2026-01-01,30,120,1.0,0,188,358.90000000001055,31.914893617021278,1.0329568411386605,1752.1999999999975,187.4816666666664,-85.07812499999977,2.203641261095809,1.9090425531915456,-40.750000000000796,820.2000000000018,-305.5999999999992,1.8309660632020033,99.4627659574468,7.291379601561069,18.10310341455612,32.68941852092209
60m,full_2023_2025,2023-01-01,2026-01-01,30,160,1.0,0,156,145.29999999998063,30.128205128205128,1.014302588837482,1782.9000000000162,219.2404255319148,-93.20183486238547,2.3523187698571393,0.9314102564101322,-49.30000000000041,1135.500000000001,-293.7999999999997,2.372960966497539,119.86538461538461,11.019671399318746,24.986656056209544,35.227041138165625
60m,full_2023_2025,2023-01-01,2026-01-01,30,200,1.0,0,146,-305.89999999998213,32.19178082191781,0.9713716168157848,2044.2999999999965,220.83617021276626,-107.93131313131303,2.046080639675802,-2.0952054794519324,-53.50000000000057,1069.7999999999997,-311.59999999999945,2.1443333289999478,128.07534246575344,10.307053462179518,25.22906169009469,36.57279392637264
60m,full_2023_2025,2023-01-01,2026-01-01,40,60,1.0,0,360,-2789.899999999958,39.72222222222222,0.830274308449481,3643.999999999969,95.43916083916085,-75.74976958525328,1.2599267477869747,-7.749722222222105,-18.450000000000898,615.3000000000011,-375.50000000000045,1.0979057365350628,51.94166666666667,7.9807734579932355,24.754172833716815,38.116033353361
60m,full_2023_2025,2023-01-01,2026-01-01,40,80,1.0,0,254,-1190.5000000000068,34.25196850393701,0.9115396046960911,1608.8000000000006,141.00574712643677,-80.58682634730543,1.749736942347669,-4.687007874015775,-31.799999999999272,579.0999999999988,-335.3999999999994,1.2315544190444232,73.61811023622047,4.720603219889943,19.92826574281637,30.596291012838776
60m,full_2023_2025,2023-01-01,2026-01-01,40,120,1.0,0,166,-375.1000000000065,33.13253012048193,0.9667384923696271,2002.699999999987,198.22181818181792,-101.5972972972972,1.9510540482368839,-2.259638554216907,-46.79999999999984,777.3000000000015,-346.09999999999934,1.4942101439898285,112.644578313253,7.129753627708192,18.140375337087967,32.51545559611827
60m,full_2023_2025,2023-01-01,2026-01-01,40,160,1.0,0,140,-340.6999999999723,36.42857142857142,0.9668408809989613,2345.8999999999896,194.78431372549042,-115.44606741573014,1.6872321256648541,-2.4335714285712307,-50.399999999998556,1149.1000000000004,-332.60000000000025,2.1868090727401697,133.56428571428572,11.567344473525258,26.426414334608396,42.120998590698576
60m,full_2023_2025,2023-01-01,2026-01-01,40,200,1.0,0,126,351.10000000001844,32.53968253968254,1.0362684131148914,1752.299999999997,244.67560975609734,-113.88941176470559,2.1483613442625797,2.786507936508083,-51.10000000000048,1078.2000000000003,-298.69999999999754,2.033620777537692,148.4047619047619,10.747929064864392,27.230678748367705,40.25937777246134
60m,full_2023_2025,2023-01-01,2026-01-01,60,80,1.0,0,293,-2185.899999999997,39.59044368600683,0.861770880760864,2545.4999999999704,117.4801724137931,-89.34237288135593,1.3149434990920081,-7.460409556313983,-21.899999999997476,617.0000000000007,-371.8000000000027,1.121934461119922,63.81911262798635,8.862830851867873,22.440323752357322,36.82572994709303
60m,full_2023_2025,2023-01-01,2026-01-01,60,120,1.0,0,164,-2468.9000000000265,33.53658536585366,0.8052641542174739,2927.7000000000326,185.62363636363628,-116.31376146789012,1.59588714199463,-15.054268292683089,-38.000000000001876,680.1999999999983,-398.80000000000086,1.0617082988129103,114.01829268292683,6.662552770513145,18.06098361298029,31.609414945196967
